КОД КП ;КОД ЗКППТР ;ВИПУСК ЄТКД ;ВИПУСК ДКХП ;ПРОФЕСІЙНА НАЗВА РОБОТИ ;
8121 ;10373 ;  ;41 ;Апаратник на приготуванні сумішей та розчинів ;
8229 ;10375 ;43 ;  ;Апаратник на просочувальних агрегатах ;
8159 ;10383 ;20 ;  ;Апаратник на установках деіонізації ;
8152 ;10365 ;24 ;  ;Апаратник нагрівання теплоносіїв ;
8272 ;10369 ;  ;8 ;Апаратник нанесення полімерних та парафінових покриттів на сири ;
8232 ;10379 ;29 ;  ;Апаратник напилення скловолокнистих матеріалів ;
8152 ;10377 ;26 ;  ;Апаратник напилювання металом ;
8221 ;10381 ;31 ;  ;Апаратник насичення ;
8154;;;;Апаратник нейтралізації продуктів ракетних рідинних двигунів;
8154 ;10386 ;24 ;  ;Апаратник нейтралізації ;
8223 ;10388 ;29 ;  ;Апаратник нікелювання склотканини ;
8154 ;10394 ;25 ;  ;Апаратник нітрозного процесу ;
8154 ;10392 ;24 ;  ;Апаратник нітрозування ;
8154 ;10390 ;24 ;  ;Апаратник нітрування ;
8232 ;10414 ;27 ;  ;Апаратник облагороджування гексолу ;
8276 ;10428 ;  ;11 ;Апаратник оброблення бурякового соку ;
8275 ;10429 ;  ;11 ;Апаратник оброблення ефірних олій ;
8273 ;10422 ;  ;11 ;Апаратник оброблення зерна ;
8271 ;10424 ;  ;8 ;Апаратник оброблення крові ;
8276 ;10426 ;  ;11 ;Апаратник оброблення рафінадних голів ;
8159 ;10463 ;28 ;  ;Апаратник оброблення та сушіння хімічної нитки ;
8152 ;10420 ;29 ;  ;Апаратник оброблення ;
8159 ;10546 ;  ;19 ;Апаратник одержання високотемпературного пеку ;
8121 ;10548 ;  ;41 ;Апаратник одержання високочистих сполук лужних металів ;
8154 ;10613 ;24 ;  ;Апаратник одержання вуглекислоти ;
8154 ;10550 ;25 ;  ;Апаратник одержання гексахлорбензолу ;
8121 ;10552 ;8 ;  ;Апаратник одержання гідроокисних сполук лужних металів ;
8275 ;10554 ;  ;11 ;Апаратник одержання декстрину ;
8275 ;10623 ;  ;11 ;Апаратник одержання екструзійних крохмалепродуктів ;
8221 ;10556 ;31 ;  ;Апаратник одержання закису азоту ;
8154 ;10558 ;26 ;  ;Апаратник одержання зародків діоксиду титану ;
8152 ;10560 ;24 ;  ;Апаратник одержання інертного газу ;
8276 ;10564 ;55 ;  ;Апаратник одержання клейового розчину ;
8221 ;10566 ;31 ;  ;Апаратник одержання комплексних сполук ;
8275 ;10568 ;  ;11 ;Апаратник одержання кукурудзяної олії ;
8159 ;10569 ;  ;19 ;Апаратник одержання кумаронової смоли ;
8152 ;10571 ;26 ;  ;Апаратник одержання лаків та емалей на полімеризаційних смолах ;
8154 ;10573 ;26 ;  ;Апаратник одержання метатитанової кислоти ;
8151 ;10575 ;26 ;  ;Апаратник одержання мікронізованих матеріалів ;
8154 ;10577 ;30 ;  ;Апаратник одержання нітролігніну ;
8152 ;10579 ;26 ;  ;Апаратник одержання оксидів металів ;
8271 ;10581 ;  ;10 ;Апаратник одержання пату ;
8139 ;10583 ;29 ;  ;Апаратник одержання порожнистих мікросфер ;
8276 ;10585 ;55 ;  ;Апаратник одержання сахарату кальцію ;
8221 ;10591 ;  ;25 ;Апаратник одержання сильнодіючих алкалоїдів та кристалічних глікозидів ;
8221 ;10593 ;31 ;  ;Апаратник одержання синтетичних гормонів ;
8159 ;10605 ;  ;19 ;Апаратник одержання сирого бензолу ;
8275 ;10607 ;  ;11 ;Апаратник одержання сирого крохмалю ;
8275 ;10595 ;  ;11 ;Апаратник одержання сиропів ;
8159 ;10589 ;28 ;  ;Апаратник одержання сірковуглецю-сирцю ;
8152 ;10587 ;  ;11 ;Апаратник одержання сірчистої кислоти ;
8221 ;10598 ;31 ;  ;Апаратник одержання сполук для рентгенівських екранів ;
8159 ;10600 ;  ;19 ;Апаратник одержання сульфату амонію ;
8275 ;10602 ;  ;11 ;Апаратник одержання сухих кормів ;
8275 ;10603 ;  ;11 ;Апаратник одержання сухого крохмалю ;
8159 ;10609 ;33 ;  ;Апаратник одержання технічного вуглецю ;
8154 ;10611 ;25 ;  ;Апаратник одержання трихлорпропану та дихлоргідрину ;
8275 ;10615 ;  ;11 ;Апаратник одержання фосфатидів ;
8154 ;10616 ;25 ;  ;Апаратник одержання фотогіпосульфіту ;
8154 ;10618 ;30 ;  ;Апаратник одержання фуранових сполук ;
8154 ;10620 ;25 ;  ;Апаратник одержання хлорного заліза ;
8159 ;10622 ;  ;19 ;Апаратник одержання чистого антрацену ;
8212 ;10433 ;  ;64 ;Апаратник окислення бітуму ;
8121 ;10435 ;  ;41 ;Апаратник окислення молібденових відходів ;
8154 ;10431 ;24 ;  ;Апаратник окислення ;
8159 ;10439 ;25 ;  ;Апаратник оксимування ;
8221 ;10441 ;31 ;  ;Апаратник оксихлорування ;
